Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5312","Area harvested","44","Barley","2007","2007","ha","646200","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2008","2008","ha","602600","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2009","2009","ha","705700","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2010","2010","ha","623800","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2011","2011","ha","705400","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2012","2012","ha","643000","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2013","2013","ha","695000","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2014","2014","ha","673500","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2015","2015","ha","707000","","Official data"
"QC","Crops","100","India","5312","Area harvested","44","Barley","2016","2016","ha","590000","","Official data"
"QC","Crops","100","India","5419","Yield","44","Barley","2007","2007","hg/ha","20582","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2008","2008","hg/ha","19914","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2009","2009","hg/ha","23935","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2010","2010","hg/ha","21717","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2011","2011","hg/ha","23574","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2012","2012","hg/ha","25194","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2013","2013","hg/ha","25180","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2014","2014","hg/ha","27171","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2015","2015","hg/ha","22815","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","44","Barley","2016","2016","hg/ha","25508","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","44","Barley","2007","2007","tonnes","1330000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2008","2008","tonnes","1200000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2009","2009","tonnes","1689100","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2010","2010","tonnes","1354700","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2011","2011","tonnes","1662900","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2012","2012","tonnes","1620000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2013","2013","tonnes","1750000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2014","2014","tonnes","1830000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2015","2015","tonnes","1613000","","Official data"
"QC","Crops","100","India","5510","Production","44","Barley","2016","2016","tonnes","1505000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2007","2007","ha","1940000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2008","2008","ha","1903200","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2009","2009","ha","1895200","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2010","2010","ha","1895900","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2011","2011","ha","2070820","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2012","2012","ha","2137000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2013","2013","ha","2159000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2014","2014","ha","2140000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2015","2015","ha","2164000","","Official data"
"QC","Crops","100","India","5312","Area harvested","249","Coconuts","2016","2016","ha","2155749","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2007","2007","hg/ha","56155","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2008","2008","hg/ha","53322","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2009","2009","hg/ha","57114","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2010","2010","hg/ha","57176","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2011","2011","hg/ha","49642","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2012","2012","hg/ha","49415","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2013","2013","hg/ha","55257","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2014","2014","hg/ha","51770","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2015","2015","hg/ha","51801","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","249","Coconuts","2016","2016","hg/ha","51620","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2007","2007","tonnes","10894000","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2008","2008","tonnes","10148300","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2009","2009","tonnes","10824300","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2010","2010","tonnes","10840000","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2011","2011","tonnes","10280000","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2012","2012","tonnes","10560000","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2013","2013","tonnes","11930000","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2014","2014","tonnes","11078873","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2015","2015","tonnes","11209641","","Official data"
"QC","Crops","100","India","5510","Production","249","Coconuts","2016","2016","tonnes","11127898","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2007","2007","ha","6292000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2008","2008","ha","6164900","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2009","2009","ha","5477500","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2010","2010","ha","5860000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2011","2011","ha","5310000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2012","2012","ha","4770000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2013","2013","ha","5505210","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2014","2014","ha","4685000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2015","2015","ha","4560000","","Official data"
"QC","Crops","100","India","5312","Area harvested","242","Groundnuts, with shell","2016","2016","ha","5800000","*","Unofficial figure"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2007","2007","hg/ha","14594","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2008","2008","hg/ha","11627","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2009","2009","hg/ha","9911","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2010","2010","hg/ha","14104","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2011","2011","hg/ha","13115","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2012","2012","hg/ha","9843","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2013","2013","hg/ha","17206","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2014","2014","hg/ha","15799","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2015","2015","hg/ha","14849","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","242","Groundnuts, with shell","2016","2016","hg/ha","11822","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2007","2007","tonnes","9182500","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2008","2008","tonnes","7168100","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2009","2009","tonnes","5428500","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2010","2010","tonnes","8265000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2011","2011","tonnes","6964000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2012","2012","tonnes","4695000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2013","2013","tonnes","9472000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2014","2014","tonnes","7402000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2015","2015","tonnes","6771000","","Official data"
"QC","Crops","100","India","5510","Production","242","Groundnuts, with shell","2016","2016","tonnes","6857000","*","Unofficial figure"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2007","2007","ha","816000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2008","2008","ha","785600","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2009","2009","ha","811200","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2010","2010","ha","767630","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2011","2011","ha","800000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2012","2012","ha","800000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2013","2013","ha","800000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2014","2014","ha","741000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2015","2015","ha","773000","","Official data"
"QC","Crops","100","India","5312","Area harvested","780","Jute","2016","2016","ha","765105","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","780","Jute","2007","2007","hg/ha","22549","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2008","2008","hg/ha","22072","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2009","2009","hg/ha","24920","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2010","2010","hg/ha","23437","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2011","2011","hg/ha","24505","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2012","2012","hg/ha","23900","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2013","2013","hg/ha","24300","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2014","2014","hg/ha","26559","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2015","2015","hg/ha","23146","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","780","Jute","2016","2016","hg/ha","24839","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","780","Jute","2007","2007","tonnes","1840000","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2008","2008","tonnes","1734000","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2009","2009","tonnes","2021500","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2010","2010","tonnes","1799100","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2011","2011","tonnes","1960380","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2012","2012","tonnes","1912000","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2013","2013","tonnes","1944000","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2014","2014","tonnes","1968000","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2015","2015","tonnes","1789200","","Official data"
"QC","Crops","100","India","5510","Production","780","Jute","2016","2016","tonnes","1900433","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2007","2007","ha","11695500","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2008","2008","ha","11039100","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2009","2009","ha","11002700","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2010","2010","ha","11791800","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2011","2011","ha","10680000","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2012","2012","ha","10752000","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2013","2013","ha","9179000","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2014","2014","ha","9686740","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2015","2015","ha","9116000","","Official data"
"QC","Crops","100","India","5312","Area harvested","79","Millet","2016","2016","ha","8840000","","Official data"
"QC","Crops","100","India","5419","Yield","79","Millet","2007","2007","hg/ha","10836","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2008","2008","hg/ha","10301","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2009","2009","hg/ha","7977","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2010","2010","hg/ha","11273","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2011","2011","hg/ha","11854","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2012","2012","hg/ha","9998","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2013","2013","hg/ha","11886","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2014","2014","hg/ha","11789","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2015","2015","hg/ha","12758","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","79","Millet","2016","2016","hg/ha","11629","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","79","Millet","2007","2007","tonnes","12673000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2008","2008","tonnes","11371800","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2009","2009","tonnes","8776800","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2010","2010","tonnes","13293000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2011","2011","tonnes","12660000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2012","2012","tonnes","10750000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2013","2013","tonnes","10910000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2014","2014","tonnes","11420000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2015","2015","tonnes","11630000","","Official data"
"QC","Crops","100","India","5510","Production","79","Millet","2016","2016","tonnes","10280000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2007","2007","ha","360000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2008","2008","ha","339400","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2009","2009","ha","375500","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2010","2010","ha","388730","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2011","2011","ha","310000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2012","2012","ha","315000","F","FAO estimate"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2013","2013","ha","298740","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2014","2014","ha","234000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2015","2015","ha","252000","","Official data"
"QC","Crops","100","India","5312","Area harvested","339","Oilseeds nes","2016","2016","ha","281396","Im","FAO data based on imputation methodology"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2007","2007","hg/ha","3056","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2008","2008","hg/ha","3447","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2009","2009","hg/ha","2663","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2010","2010","hg/ha","2778","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2011","2011","hg/ha","3161","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2012","2012","hg/ha","3238","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2013","2013","hg/ha","3280","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2014","2014","hg/ha","3248","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2015","2015","hg/ha","2937","Fc","Calculated data"
"QC","Crops","100","India","5419","Yield","339","Oilseeds nes","2016","2016","hg/ha","3021","Fc","Calculated data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2007","2007","tonnes","110000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2008","2008","tonnes","117000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2009","2009","tonnes","100000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2010","2010","tonnes","108000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2011","2011","tonnes","98000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2012","2012","tonnes","102000","","Official data"
"QC","Crops","100","India","5510","Production","339","Oilseeds nes","2013","2013","tonnes","98000","","Official data"
