Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
5511,Production,2511,Wheat and products,2007,2007,1000 tonnes,75807,S,Standardized data
5511,Production,2511,Wheat and products,2008,2008,1000 tonnes,78570,S,Standardized data
5511,Production,2511,Wheat and products,2009,2009,1000 tonnes,80679,S,Standardized data
5511,Production,2511,Wheat and products,2010,2010,1000 tonnes,80804,S,Standardized data
5511,Production,2511,Wheat and products,2011,2011,1000 tonnes,86874,S,Standardized data
5511,Production,2511,Wheat and products,2012,2012,1000 tonnes,94880,S,Standardized data
5511,Production,2511,Wheat and products,2013,2013,1000 tonnes,93510,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2007,2007,1000 tonnes,2690,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2008,2008,1000 tonnes,14,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2009,2009,1000 tonnes,180,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2010,2010,1000 tonnes,199,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2011,2011,1000 tonnes,17,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2012,2012,1000 tonnes,15,S,Standardized data
5611,Import Quantity,2511,Wheat and products,2013,2013,1000 tonnes,27,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2007,2007,1000 tonnes,-996,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2008,2008,1000 tonnes,2000,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2009,2009,1000 tonnes,-1500,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2010,2010,1000 tonnes,1550,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2011,2011,1000 tonnes,-4130,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2012,2012,1000 tonnes,-8713,S,Standardized data
5072,Stock Variation,2511,Wheat and products,2013,2013,1000 tonnes,3,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2007,2007,1000 tonnes,128,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2008,2008,1000 tonnes,163,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2009,2009,1000 tonnes,146,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2010,2010,1000 tonnes,158,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2011,2011,1000 tonnes,784,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2012,2012,1000 tonnes,5040,S,Standardized data
5911,Export Quantity,2511,Wheat and products,2013,2013,1000 tonnes,7168,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2007,2007,1000 tonnes,77373,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2008,2008,1000 tonnes,80421,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2009,2009,1000 tonnes,79214,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2010,2010,1000 tonnes,82394,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2011,2011,1000 tonnes,81976,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2012,2012,1000 tonnes,81141,S,Standardized data
5301,Domestic supply quantity,2511,Wheat and products,2013,2013,1000 tonnes,86372,S,Standardized data
5521,Feed,2511,Wheat and products,2007,2007,1000 tonnes,1334,S,Standardized data
5521,Feed,2511,Wheat and products,2008,2008,1000 tonnes,1450,S,Standardized data
5521,Feed,2511,Wheat and products,2009,2009,1000 tonnes,1617,S,Standardized data
5521,Feed,2511,Wheat and products,2010,2010,1000 tonnes,1816,S,Standardized data
5521,Feed,2511,Wheat and products,2011,2011,1000 tonnes,1911,S,Standardized data
5521,Feed,2511,Wheat and products,2012,2012,1000 tonnes,1898,S,Standardized data
5521,Feed,2511,Wheat and products,2013,2013,1000 tonnes,1870,S,Standardized data
5527,Seed,2511,Wheat and products,2007,2007,1000 tonnes,2804,S,Standardized data
5527,Seed,2511,Wheat and products,2008,2008,1000 tonnes,2775,S,Standardized data
5527,Seed,2511,Wheat and products,2009,2009,1000 tonnes,2846,S,Standardized data
5527,Seed,2511,Wheat and products,2010,2010,1000 tonnes,2907,S,Standardized data
5527,Seed,2511,Wheat and products,2011,2011,1000 tonnes,2986,S,Standardized data
5527,Seed,2511,Wheat and products,2012,2012,1000 tonnes,2965,S,Standardized data
5527,Seed,2511,Wheat and products,2013,2013,1000 tonnes,3060,S,Standardized data
5123,Losses,2511,Wheat and products,2007,2007,1000 tonnes,3924,S,Standardized data
5123,Losses,2511,Wheat and products,2008,2008,1000 tonnes,4834,S,Standardized data
5123,Losses,2511,Wheat and products,2009,2009,1000 tonnes,4851,S,Standardized data
5123,Losses,2511,Wheat and products,2010,2010,1000 tonnes,4952,S,Standardized data
5123,Losses,2511,Wheat and products,2011,2011,1000 tonnes,5212,S,Standardized data
5123,Losses,2511,Wheat and products,2012,2012,1000 tonnes,5693,S,Standardized data
5123,Losses,2511,Wheat and products,2013,2013,1000 tonnes,5611,S,Standardized data
5131,Processing,2511,Wheat and products,2007,2007,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2008,2008,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2009,2009,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2010,2010,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2011,2011,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2012,2012,1000 tonnes,0,S,Standardized data
5131,Processing,2511,Wheat and products,2013,2013,1000 tonnes,0,S,Standardized data
5142,Food,2511,Wheat and products,2007,2007,1000 tonnes,69311,S,Standardized data
5142,Food,2511,Wheat and products,2008,2008,1000 tonnes,71361,S,Standardized data
5142,Food,2511,Wheat and products,2009,2009,1000 tonnes,69900,S,Standardized data
5142,Food,2511,Wheat and products,2010,2010,1000 tonnes,72719,S,Standardized data
5142,Food,2511,Wheat and products,2011,2011,1000 tonnes,71867,S,Standardized data
5142,Food,2511,Wheat and products,2012,2012,1000 tonnes,70589,S,Standardized data
5142,Food,2511,Wheat and products,2013,2013,1000 tonnes,75833,S,Standardized data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2007,2007,kg,59.8,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2008,2008,kg,60.75,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2009,2009,kg,58.73,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2010,2010,kg,60.32,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2011,2011,kg,58.85,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2012,2012,kg,57.08,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2511,Wheat and products,2013,2013,kg,60.56,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2007,2007,kcal/capita/day,510,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2008,2008,kcal/capita/day,518,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2009,2009,kcal/capita/day,501,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2010,2010,kcal/capita/day,515,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2011,2011,kcal/capita/day,502,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2012,2012,kcal/capita/day,487,Fc,Calculated data
664,Food supply (kcal/capita/day),2511,Wheat and products,2013,2013,kcal/capita/day,517,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2007,2007,g/capita/day,14.9,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2008,2008,g/capita/day,15.14,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2009,2009,g/capita/day,14.63,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2010,2010,g/capita/day,15.03,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2011,2011,g/capita/day,14.66,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2012,2012,g/capita/day,14.23,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,15.09,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2007,2007,g/capita/day,2.36,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2008,2008,g/capita/day,2.41,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2009,2009,g/capita/day,2.33,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2010,2010,g/capita/day,2.39,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2011,2011,g/capita/day,2.33,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2012,2012,g/capita/day,2.26,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2511,Wheat and products,2013,2013,g/capita/day,2.39,Fc,Calculated data
5511,Production,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,96428,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,98740,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,90494,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,96023,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,105319,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,105253,S,Standardized data
5511,Production,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,106186,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,22,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,12,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,41,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,11,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,12,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,4,S,Standardized data
5611,Import Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,5,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,-4000,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,4000,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,500,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,-5000,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,0,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,6490,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,2514,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,2181,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,2264,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,5045,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,10501,S,Standardized data
5911,Export Quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,11337,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,89960,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,92237,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,92354,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,94270,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,95287,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,94756,S,Standardized data
5301,Domestic supply quantity,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,94854,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,1929,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,1975,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,1810,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,1920,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,2106,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,2105,S,Standardized data
5521,Feed,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2124,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,2278,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,2097,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,2144,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,2200,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,2122,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,2198,S,Standardized data
5527,Seed,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,2171,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,2893,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,2962,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,2715,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,2881,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,4213,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,3158,S,Standardized data
5123,Losses,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,3186,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,333,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,346,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,360,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,341,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,369,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,362,S,Standardized data
5131,Processing,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,368,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2007,2007,1000 tonnes,82527,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2008,2008,1000 tonnes,84858,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2009,2009,1000 tonnes,85325,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2010,2010,1000 tonnes,86928,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2011,2011,1000 tonnes,86478,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2012,2012,1000 tonnes,86933,S,Standardized data
5142,Food,2805,Rice (Milled Equivalent),2013,2013,1000 tonnes,87006,S,Standardized data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2007,2007,kg,71.2,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2008,2008,kg,72.24,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2009,2009,kg,71.69,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2010,2010,kg,72.1,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2011,2011,kg,70.82,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2012,2012,kg,70.3,Fc,Calculated data
645,Food supply quantity (kg/capita/yr),2805,Rice (Milled Equivalent),2013,2013,kg,69.49,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2007,2007,kcal/capita/day,706,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2008,2008,kcal/capita/day,717,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2009,2009,kcal/capita/day,711,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2010,2010,kcal/capita/day,715,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2011,2011,kcal/capita/day,703,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2012,2012,kcal/capita/day,697,Fc,Calculated data
664,Food supply (kcal/capita/day),2805,Rice (Milled Equivalent),2013,2013,kcal/capita/day,689,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2007,2007,g/capita/day,13.27,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2008,2008,g/capita/day,13.47,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2009,2009,g/capita/day,13.36,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2010,2010,g/capita/day,13.44,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2011,2011,g/capita/day,13.2,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2012,2012,g/capita/day,13.1,Fc,Calculated data
674,Protein supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,12.96,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2007,2007,g/capita/day,1.57,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2008,2008,g/capita/day,1.59,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2009,2009,g/capita/day,1.58,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2010,2010,g/capita/day,1.58,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2011,2011,g/capita/day,1.56,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2012,2012,g/capita/day,1.54,Fc,Calculated data
684,Fat supply quantity (g/capita/day),2805,Rice (Milled Equivalent),2013,2013,g/capita/day,1.53,Fc,Calculated data
5511,Production,2513,Barley and products,2007,2007,1000 tonnes,1330,S,Standardized data
5511,Production,2513,Barley and products,2008,2008,1000 tonnes,1200,S,Standardized data
5511,Production,2513,Barley and products,2009,2009,1000 tonnes,1689,S,Standardized data
5511,Production,2513,Barley and products,2010,2010,1000 tonnes,1355,S,Standardized data
5511,Production,2513,Barley and products,2011,2011,1000 tonnes,1663,S,Standardized data
5511,Production,2513,Barley and products,2012,2012,1000 tonnes,1620,S,Standardized data
5511,Production,2513,Barley and products,2013,2013,1000 tonnes,1750,S,Standardized data
5611,Import Quantity,2513,Barley and products,2007,2007,1000 tonnes,9,S,Standardized data
5611,Import Quantity,2513,Barley and products,2008,2008,1000 tonnes,6,S,Standardized data
5611,Import Quantity,2513,Barley and products,2009,2009,1000 tonnes,4,S,Standardized data
5611,Import Quantity,2513,Barley and products,2010,2010,1000 tonnes,5,S,Standardized data
5611,Import Quantity,2513,Barley and products,2011,2011,1000 tonnes,6,S,Standardized data
5611,Import Quantity,2513,Barley and products,2012,2012,1000 tonnes,41,S,Standardized data
5611,Import Quantity,2513,Barley and products,2013,2013,1000 tonnes,12,S,Standardized data
5072,Stock Variation,2513,Barley and products,2007,2007,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2008,2008,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2009,2009,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2010,2010,1000 tonnes,0,S,Standardized data
5072,Stock Variation,2513,Barley and products,2011,2011,1000 tonnes,-13,S,Standardized data
5072,Stock Variation,2513,Barley and products,2012,2012,1000 tonnes,-8,S,Standardized data
5072,Stock Variation,2513,Barley and products,2013,2013,1000 tonnes,20,S,Standardized data
5911,Export Quantity,2513,Barley and products,2007,2007,1000 tonnes,350,S,Standardized data
5911,Export Quantity,2513,Barley and products,2008,2008,1000 tonnes,169,S,Standardized data
5911,Export Quantity,2513,Barley and products,2009,2009,1000 tonnes,57,S,Standardized data
5911,Export Quantity,2513,Barley and products,2010,2010,1000 tonnes,39,S,Standardized data
5911,Export Quantity,2513,Barley and products,2011,2011,1000 tonnes,48,S,Standardized data
5911,Export Quantity,2513,Barley and products,2012,2012,1000 tonnes,120,S,Standardized data
